key,context,en,fr,it,de,es,ru,zh,ja,ko
skill.gold.move_1.desc,(generated),Increase move speed,Augmente la vitesse de déplacement,Aumenta la velocità di movimento,Erhöht die Bewegungsgeschwindigkeit,Aumenta la velocidad de movimiento,Увеличивает скорость передвижения,提高移动速度,移動速度を増加,이동 속도 증가
skill.gold.move_1.name,(generated),Fleet Footed,Pied léger,Piè veloce,Leichtfüßig,Pies ligeros,Быстроногий,健步如飞,俊足,날랜 발
skill.gold.move_1.upgrade,(generated),Increase move speed further,Augmente encore la vitesse de déplacement,Aumenta ulteriormente la velocità di movimento,Erhöht die Bewegungsgeschwindigkeit weiter,Aumenta aún más la velocidad de movimiento,Ещё больше увеличивает скорость передвижения,进一步提高移动速度,移動速度をさらに増加,이동 속도 추가 증가
skill.gold.multidmg.desc,(generated),Increase additional arrow damage proportional to main arrow,Augmente les dégâts des flèches supplémentaires proportionnellement à la flèche principale,Aumenta i danni delle frecce aggiuntive in proporzione alla freccia principale,Erhöht den Schaden zusätzlicher Pfeile proportional zum Hauptpfeil,Aumenta el daño de las flechas adicionales en proporción a la flecha principal,Увеличивает урон дополнительных стрел пропорционально основной стреле,按主箭比例提高额外箭矢的伤害,追加の矢のダメージをメインの矢に比例して増加,추가 화살의 피해량이 주 화살에 비례해 증가
skill.gold.multidmg.name,(generated),Heavy Arrows,Flèches lourdes,Frecce pesanti,Schwere Pfeile,Flechas pesadas,Тяжёлые стрелы,重型箭矢,ヘビーアロー,무거운 화살
skill.gold.multidmg.upgrade,(generated),Increase additional arrow damage further,Augmente encore les dégâts des flèches supplémentaires,Aumenta ulteriormente i danni delle frecce aggiuntive,Erhöht den Schaden zusätzlicher Pfeile weiter,Aumenta aún más el daño de las flechas adicionales,Ещё больше увеличивает урон дополнительных стрел,进一步提高额外箭矢的伤害,追加の矢のダメージをさらに増加,추가 화살 피해량 추가 증가
skill.gold.multishot.desc,(generated),Fire an additional arrow with reduced damage,Tire une flèche supplémentaire aux dégâts réduits,Scaglia una freccia aggiuntiva con danni ridotti,Verschießt einen zusätzlichen Pfeil mit reduziertem Schaden,Dispara una flecha adicional con daño reducido,Выпускает дополнительную стрелу с уменьшенным уроном,发射一支伤害降低的额外箭矢,ダメージの低い追加の矢を発射,피해량이 감소한 추가 화살을 발사합니다
skill.gold.multishot.name,(generated),Multi Shot,Tir multiple,Tiro multiplo,Mehrfachschuss,Disparo múltiple,Мультивыстрел,多重射击,マルチショット,멀티샷
skill.gold.multishot.upgrade,(generated),Fire one more additional arrow,Tire une flèche supplémentaire de plus,Scaglia un'ulteriore freccia aggiuntiva,Verschießt einen weiteren zusätzlichen Pfeil,Dispara una flecha adicional más,Выпускает ещё одну дополнительную стрелу,再多发射一支额外箭矢,追加の矢をもう1本発射,추가 화살을 하나 더 발사합니다
skill.gold.parry.desc,(generated),Chance to parry melee damage when facing your attacker,Chance de parer les dégâts de mêlée en faisant face à l'attaquant,Probabilità di parare i danni da mischia quando affronti l'attaccante,"Chance, Nahkampfschaden zu parieren, wenn du dem Angreifer zugewandt bist",Probabilidad de desviar el daño cuerpo a cuerpo al estar de frente al atacante,"Шанс парировать урон в ближнем бою, если вы обращены лицом к атакующему",面向攻击者时有几率招架近战伤害,攻撃者と向き合っているとき近接ダメージをパリィすることがある,공격자를 마주 보고 있을 때 근접 피해를 쳐낼 확률
skill.gold.parry.name,(generated),Parry,Parade,Parata,Parade,Parada,Парирование,招架,パリィ,패링
skill.gold.parry.upgrade,(generated),Increase parry chance,Augmente la chance de parade,Aumenta la probabilità di parata,Erhöht die Paradechance,Aumenta la probabilidad de parada,Увеличивает шанс парирования,提高招架几率,パリィ確率を増加,패링 확률 증가
skill.gold.pickuparrow_1.desc,(generated),Arrows collect gold and power-ups they fly past,Les flèches ramassent l'or et les bonus qu'elles croisent en vol,Le frecce raccolgono l'oro e i potenziamenti che incontrano in volo,"Pfeile sammeln Gold und Power-ups ein, an denen sie vorbeifliegen",Las flechas recogen el oro y las mejoras junto a las que pasan volando,"Стрелы подбирают золото и усиления, мимо которых пролетают",箭矢飞过时会收集沿途的金币和强化道具,矢が飛行中に通り過ぎたゴールドやパワーアップを回収する,화살이 지나가며 골드와 파워업을 수집합니다
skill.gold.pickuparrow_1.name,(generated),Retriever,Rapporteur,Recuperatore,Apportierer,Recolector,Добытчик,寻回者,レトリバー,회수자
skill.gold.plunder.desc,(generated),Increase gold gained from enemies,Augmente l'or obtenu des ennemis,Aumenta l'oro ottenuto dai nemici,Erhöht das von Gegnern erhaltene Gold,Aumenta el oro obtenido de los enemigos,"Увеличивает золото, получаемое с врагов",提高从敌人处获得的金币,敵から得られるゴールドを増加,적에게서 얻는 골드 증가
skill.gold.plunder.name,(generated),Plunder,Pillage,Saccheggio,Plünderung,Saqueo,Грабёж,掠夺,略奪,약탈
skill.gold.plunder.upgrade,(generated),Increase gold gained further,Augmente encore l'or obtenu,Aumenta ulteriormente l'oro ottenuto,Erhöht das erhaltene Gold weiter,Aumenta aún más el oro obtenido,Ещё больше увеличивает получаемое золото,进一步提高获得的金币,得られるゴールドをさらに増加,획득 골드 추가 증가
skill.gold.precision.desc,(generated),Increase vulnerable hit damage,Augmente les dégâts des coups sur points vulnérables,Aumenta i danni dei colpi sui punti vulnerabili,Erhöht den Schaden von Treffern auf Schwachstellen,Aumenta el daño de los golpes en puntos vulnerables,Увеличивает урон по уязвимым местам,提高对弱点的命中伤害,弱点ヒットのダメージを増加,약점 적중 피해량 증가
skill.gold.precision.name,(generated),Precision Shot,Tir de précision,Tiro di precisione,Präzisionsschuss,Disparo de precisión,Точный выстрел,精准射击,プレシジョンショット,정밀 사격
skill.gold.precision.upgrade,(generated),Increase vulnerable hit damage further,Augmente encore les dégâts des coups sur points vulnérables,Aumenta ulteriormente i danni dei colpi sui punti vulnerabili,Erhöht den Schaden von Treffern auf Schwachstellen weiter,Aumenta aún más el daño de los golpes en puntos vulnerables,Ещё больше увеличивает урон по уязвимым местам,进一步提高对弱点的命中伤害,弱点ヒットのダメージをさらに増加,약점 적중 피해량 추가 증가
skill.gold.range_ext.desc,(generated),Increase sword range,Augmente la portée de l'épée,Aumenta la portata della spada,Erhöht die Schwertreichweite,Aumenta el alcance de la espada,Увеличивает дальность меча,提高剑的攻击范围,剣のリーチを増加,검 사거리 증가
skill.gold.range_ext.name,(generated),Extended Blade,Lame allongée,Lama estesa,Verlängerte Klinge,Hoja extendida,Удлинённый клинок,加长之刃,エクステンドブレード,연장된 칼날
skill.gold.range_ext.upgrade,(generated),Extend the blade further,Allonge encore la lame,Estendi ulteriormente la lama,Verlängert die Klinge weiter,Extiende la hoja aún más,Ещё больше удлиняет клинок,进一步加长刀刃,刃をさらに延長,칼날 추가 연장
skill.gold.solid.desc,(generated),Periodically block 1 damage source,Bloque périodiquement 1 source de dégâts,Blocca periodicamente 1 fonte di danno,Blockt regelmäßig 1 Schadensquelle,Bloquea periódicamente 1 fuente de daño,Периодически блокирует 1 источник урона,定期格挡1次伤害来源,定期的にダメージ源を1回ブロック,주기적으로 피해 1회 방어
skill.gold.solid.name,(generated),Solid,Solide,Solido,Standhaft,Sólido,Несокрушимый,坚固,ソリッド,견고
skill.gold.solid.upgrade,(generated),Reduce the block cooldown by 1s,Réduit le temps de recharge du blocage de 1 s,Riduce il tempo di ricarica del blocco di 1 s,Verringert die Abklingzeit des Blocks um 1 s,Reduce el tiempo de reutilización del bloqueo en 1 s,Сокращает перезарядку блока на 1 с,格挡冷却时间减少1秒,ブロックのクールダウンを1秒短縮,방어 재사용 대기시간 1초 감소
skill.gold.sprint.desc,(generated),Increase sprint speed,Augmente la vitesse de sprint,Aumenta la velocità di scatto,Erhöht die Sprintgeschwindigkeit,Aumenta la velocidad de esprint,Увеличивает скорость спринта,提高冲刺速度,スプリント速度を増加,전력 질주 속도 증가
skill.gold.sprint.name,(generated),Sprinter,Sprinteur,Velocista,Sprinter,Velocista,Спринтер,冲刺者,スプリンター,스프린터
skill.gold.sprint.upgrade,(generated),Increase sprint speed further,Augmente encore la vitesse de sprint,Aumenta ulteriormente la velocità di scatto,Erhöht die Sprintgeschwindigkeit weiter,Aumenta aún más la velocidad de esprint,Ещё больше увеличивает скорость спринта,进一步提高冲刺速度,スプリント速度をさらに増加,전력 질주 속도 추가 증가
skill.gold.stormarrow_1.desc,(generated),Arrows are affected by your Chain Lightning buff: hits chain to nearby enemies,Les flèches profitent de votre bonus Éclair en chaîne : les coups se propagent aux ennemis proches,Le frecce beneficiano del potenziamento Fulmine a catena: i colpi si propagano ai nemici vicini,Pfeile profitieren von deinem Kettenblitz-Buff: Treffer springen auf nahe Gegner über,Las flechas se benefician de tu mejora de Relámpago en cadena: los impactos se encadenan a los enemigos cercanos,На стрелы действует бафф цепной молнии: попадания перескакивают на ближайших врагов,箭矢受连锁闪电增益影响：命中会连锁至附近敌人,矢にチェインライトニングのバフが適用され、ヒットが周囲の敵に連鎖する,화살에 연쇄 번개 버프가 적용되어 적중 시 주변 적에게 연쇄됩니다
skill.gold.stormarrow_1.name,(generated),Storm Arrow,Flèche des tempêtes,Freccia della tempesta,Sturmpfeil,Flecha de tormenta,Грозовая стрела,风暴之箭,ストームアロー,폭풍 화살
skill.gold.swiftarrow.desc,(generated),Arrows fly faster and drop less over distance,Les flèches volent plus vite et chutent moins avec la distance,Le frecce volano più veloci e perdono meno quota con la distanza,Pfeile fliegen schneller und fallen über die Distanz weniger ab,Las flechas vuelan más rápido y caen menos con la distancia,Стрелы летят быстрее и меньше снижаются с расстоянием,箭矢飞行更快，远距离下坠更少,矢の飛行速度が上がり、距離による落下が減少,화살이 더 빠르게 날아가고 거리에 따른 낙차가 줄어듭니다
skill.gold.swiftarrow.name,(generated),Swift Arrows,Flèches véloces,Frecce rapide,Schnelle Pfeile,Flechas veloces,Быстрые стрелы,迅捷箭矢,スウィフトアロー,신속한 화살
skill.gold.swiftarrow.upgrade,(generated),Increase arrow speed further,Augmente encore la vitesse des flèches,Aumenta ulteriormente la velocità delle frecce,Erhöht die Pfeilgeschwindigkeit weiter,Aumenta aún más la velocidad de las flechas,Ещё больше увеличивает скорость стрел,进一步提高箭矢速度,矢の速度をさらに増加,화살 속도 추가 증가
skill.gold.sword_dmg.desc,(generated),Increase sword damage,Augmente les dégâts de l'épée,Aumenta i danni della spada,Erhöht den Schwertschaden,Aumenta el daño de la espada,Увеличивает урон меча,提高剑的伤害,剣のダメージを増加,검 피해량 증가
skill.gold.sword_dmg.name,(generated),Sharpened Edge,Tranchant affûté,Filo affilato,Geschärfte Klinge,Filo afilado,Заточенное лезвие,锋利刀刃,研ぎ澄まされた刃,벼려진 칼날
skill.gold.sword_dmg.upgrade,(generated),Sharpen the blade further,Affûte encore la lame,Affila ulteriormente la lama,Schärft die Klinge weiter,Afila la hoja aún más,Ещё сильнее затачивает клинок,进一步磨砺刀刃,刃をさらに研ぎ澄ます,칼날 추가 연마
skill.gold.unstableorbs_1.desc,(generated),Your main arrow detonates Impulse and Lightning Orbs it strikes: an impulse blast or chain lightning erupts from the orb,Votre flèche principale fait détoner les orbes d'impulsion et de foudre qu'elle frappe : une déflagration d'impulsion ou un éclair en chaîne jaillit de l'orbe,La tua freccia principale fa detonare le Sfere d'impulso e di fulmine che colpisce: dalla sfera erompe un'esplosione d'impulso o un fulmine a catena,Dein Hauptpfeil bringt getroffene Impuls- und Blitzkugeln zur Detonation: Aus der Kugel bricht eine Impulsexplosion oder ein Kettenblitz hervor,Tu flecha principal detona los orbes de impulso y de rayo que golpea: del orbe estalla una explosión de impulso o un relámpago en cadena,Ваша основная стрела подрывает сферы импульса и молний при попадании: из сферы вырывается импульсный взрыв или цепная молния,主箭命中冲击宝珠和闪电宝珠时会将其引爆：宝珠中迸发出冲击波或连锁闪电,メインの矢が命中したインパルスオーブとライトニングオーブを起爆させ、オーブから衝撃波またはチェインライトニングが発生する,주 화살이 명중한 임펄스 구슬과 번개 구슬을 폭발시켜 구슬에서 충격파 또는 연쇄 번개가 터져 나옵니다
skill.gold.unstableorbs_1.name,(generated),Unstable Orbs,Orbes instables,Sfere instabili,Instabile Kugeln,Orbes inestables,Нестабильные сферы,不稳定宝珠,アンステーブルオーブ,불안정한 구슬
skill.gold.vamp.desc,(generated),Heal a percentage of the damage you deal,Récupérez un pourcentage des dégâts infligés,Recupera una percentuale dei danni inflitti,Heilt einen Prozentsatz des verursachten Schadens,Cura un porcentaje del daño que infliges,Восстанавливает процент от нанесённого урона,按造成伤害的一定百分比回复生命,与えたダメージの一定割合を回復,가한 피해의 일정 비율만큼 회복합니다
skill.gold.vamp.name,(generated),Vampiric Blade,Lame vampirique,Lama vampirica,Vampirklinge,Hoja vampírica,Вампирский клинок,吸血之刃,ヴァンピリックブレード,흡혈 칼날
skill.gold.vamp.upgrade,(generated),Heal more of the damage you deal,Récupérez une plus grande part des dégâts infligés,Recupera una quota maggiore dei danni inflitti,Heilt einen größeren Anteil des verursachten Schadens,Cura una mayor parte del daño que infliges,Восстанавливает больше от нанесённого урона,回复更多造成的伤害,与えたダメージをより多く回復,가한 피해를 더 많이 회복합니다
skill.reinc.deathgold.desc,(generated),Auto-collect 25% of the gold on the ground when you die,Ramasse automatiquement 25% de l'or au sol à votre mort,Raccoglie automaticamente il 25% dell'oro a terra quando muori,Sammelt bei deinem Tod automatisch 25% des Goldes am Boden ein,Recoge automáticamente el 25% del oro del suelo al morir,При смерти автоматически собирает 25% золота с земли,死亡时自动收集地面上25%的金币,死亡時に地面のゴールドの25%を自動回収,사망 시 바닥에 있는 골드의 25%를 자동 수집
skill.reinc.deathgold.name,(generated),Grave Robber,Pilleur de tombes,Profanatore di tombe,Grabräuber,Saqueador de tumbas,Расхититель могил,盗墓贼,グレイブロバー,도굴꾼
skill.reinc.deathgold.upgrade,(generated),Auto-collect more of the gold when you die,Ramasse automatiquement davantage d'or à votre mort,Raccoglie automaticamente più oro quando muori,Sammelt bei deinem Tod automatisch mehr Gold ein,Recoge automáticamente más oro al morir,При смерти автоматически собирает больше золота,死亡时自动收集更多金币,死亡時により多くのゴールドを自動回収,사망 시 더 많은 골드를 자동 수집
skill.reinc.golden.desc,(generated),Chance for a spawned goblin to be a Golden Goblin; golden goblins drop bonus gold,Chance qu'un gobelin apparaisse en Gobelin doré ; les gobelins dorés lâchent de l'or bonus,Probabilità che un goblin generato sia un Goblin dorato; i goblin dorati rilasciano oro bonus,"Chance, dass ein erscheinender Goblin ein Goldener Goblin ist; Goldene Goblins lassen Bonusgold fallen",Probabilidad de que un goblin generado sea un Goblin dorado; los goblins dorados sueltan oro extra,Шанс появления Золотого гоблина; золотые гоблины приносят бонусное золото,生成的哥布林有几率成为黄金哥布林；黄金哥布林会掉落额外金币,出現するゴブリンがゴールデンゴブリンになることがある。ゴールデンゴブリンはボーナスゴールドを落とす,생성된 고블린이 황금 고블린이 될 확률이 있으며 황금 고블린은 보너스 골드를 떨어뜨립니다
skill.reinc.golden.name,(generated),Golden Scent,Flair doré,Profumo d'oro,Goldwitterung,Olor a oro,Золотое чутьё,黄金气息,ゴールドの気配,황금의 냄새
skill.reinc.golden.upgrade,(generated),Increase Golden Goblin chance and bonus gold,Augmente la chance de Gobelin doré et l'or bonus,Aumenta la probabilità di Goblin dorato e l'oro bonus,Erhöht die Chance auf Goldene Goblins und das Bonusgold,Aumenta la probabilidad de Goblin dorado y el oro extra,Увеличивает шанс Золотого гоблина и бонусное золото,提高黄金哥布林几率和额外金币,ゴールデンゴブリンの確率とボーナスゴールドを増加,황금 고블린 확률과 보너스 골드 증가
skill.reinc.greedy_stand.desc,(generated),Hold the Line banks +2% more gold per wave you stay out on the front line,Tenir la ligne rapporte +2% d'or de plus par vague passée en première ligne,Tenere la linea accumula +2% d'oro in più per ogni ondata passata in prima linea,Stellung halten bringt +2% mehr Gold pro Welle an vorderster Front,Mantener la línea acumula +2% más de oro por cada oleada que resistas en primera línea,«Держать строй» приносит на +2% больше золота за каждую волну на передовой,坚守防线每坚守一波可额外积累+2%金币,ホールド・ザ・ラインで前線に留まったウェーブごとに+2%多くゴールドを蓄積,전선 사수 시 최전선에서 버틴 웨이브당 +2%의 골드를 추가로 적립합니다
skill.reinc.greedy_stand.name,(generated),Greedy Stand,Bastion Cupide,Baluardo Avido,Gieriger Stand,Postura Codiciosa,Жадная стойка,贪婪坚守,強欲の構え,탐욕의 항전
skill.reinc.greedy_stand.upgrade,(generated),Increase the per-wave Hold the Line gold bonus,Augmente le bonus d'or par vague de Tenir la ligne,Aumenta il bonus d'oro per ondata di Tenere la linea,Erhöht den Gold-Bonus pro Welle für Die Stellung halten,Aumenta el bono de oro por oleada de Mantener la línea,Увеличивает бонус золота за волну от «Держать оборону»,提升“坚守防线”每波的金币加成,ホールド・ザ・ラインの1ウェーブごとのゴールドボーナスを増加,전선 사수의 웨이브당 골드 보너스 증가
skill.reinc.nova_cooldown.desc,(generated),-20s Death Nova cooldown,-20s de recharge de la Nova de la Mort,-20s di ricarica della Nova della Morte,-20s Todesnova-Abklingzeit,-20s de reutilización de la Nova de la Muerte,-20s перезарядки Новы смерти,死亡新星冷却-20s,デスノヴァのクールダウン-20s,데스 노바 재사용 대기시간 -20s
skill.reinc.nova_cooldown.name,(generated),Quicker Renewal,Renouveau Rapide,Rinnovo Rapido,Schnellere Erneuerung,Renovación Rápida,Быстрое обновление,急速复苏,迅速なる再生,빠른 재생
skill.reinc.nova_cooldown.upgrade,(generated),-20s Death Nova cooldown,-20s de recharge de la Nova de la Mort,-20s di ricarica della Nova della Morte,-20s Todesnova-Abklingzeit,-20s de reutilización de la Nova de la Muerte,-20s перезарядки Новы смерти,死亡新星冷却-20s,デスノヴァのクールダウン-20s,데스 노바 재사용 대기시간 -20s
skill.reinc.nova_revive.desc,(generated),Also revive at 50% health when the Death Nova triggers,Ressuscite également avec 50% de vie lorsque la Nova de la Mort se déclenche,Resuscita anche con il 50% della salute quando si attiva la Nova della Morte,Wiederbelebung mit 50% Leben beim Auslösen der Todesnova,También revives con un 50% de salud cuando se activa la Nova de la Muerte,Также воскрешает с 50% здоровья при срабатывании Новы смерти,死亡新星触发时还会以50%生命值复活,デスノヴァの発動時に体力50%で復活もする,데스 노바 발동 시 체력 50%로 부활
skill.reinc.nova_revive.name,(generated),Second Wind,Second Souffle,Secondo Respiro,Zweiter Atem,Segundo Aliento,Второе дыхание,绝处逢生,セカンドウィンド,세컨드 윈드
skill.reinc.nova_revive.upgrade,(generated),Increase the Death Nova revive health,Augmente la vie de résurrection de la Nova de la Mort,Aumenta la salute di resurrezione della Nova della Morte,Erhöht das Wiederbelebungsleben der Todesnova,Aumenta la salud de resurrección de la Nova de la Muerte,Увеличивает здоровье при воскрешении от Новы смерти,提升死亡新星复活时的生命值,デスノヴァ復活時の体力を増加,데스 노바 부활 체력 증가
skill.reinc.nova_unlock.desc,(generated),"Unlocks the Death Nova: on lethal damage, blast nearby enemies with damage and knockback","Débloque la Nova de la Mort : en cas de dégâts mortels, inflige dégâts et recul aux ennemis proches","Sblocca la Nova della Morte: subendo danni letali, colpisce i nemici vicini con danni e respinta",Schaltet die Todesnova frei: Bei tödlichem Schaden trifft sie nahe Gegner mit Schaden und Rückstoß,"Desbloquea la Nova de la Muerte: al recibir daño letal, golpea a los enemigos cercanos con daño y empuje",Открывает Нову смерти: при смертельном уроне поражает ближайших врагов уроном и отбрасыванием,解锁死亡新星：受到致命伤害时，对周围敌人造成伤害与击退,デスノヴァを解放：致死ダメージを受けた際、周囲の敵にダメージとノックバックを与える,데스 노바 해금: 치명적인 피해를 받으면 주변 적에게 피해와 넉백을 가함
skill.reinc.nova_unlock.name,(generated),Death's Reprieve,Sursis de la Mort,Tregua della Morte,Gnadenfrist des Todes,Indulto de la Muerte,Отсрочка смерти,死亡缓刑,死の猶予,죽음의 유예
skill.reinc.start_mounted.desc,(generated),Begin every run already mounted on a warhorse — no gold-tree riding node needed,Commencez chaque partie déjà en selle sur un cheval de guerre — aucun nœud d'équitation de l'arbre d'or requis,Inizia ogni partita già in sella a un cavallo da guerra — nessun nodo di equitazione dell'albero dell'oro richiesto,Beginne jeden Durchlauf bereits auf einem Schlachtross — kein Reit-Knoten im Goldbaum nötig,Comienza cada partida ya montado en un caballo de guerra — sin necesidad del nodo de monta del árbol de oro,Начинайте каждый забег уже верхом на боевом коне — узел верховой езды в золотом древе не нужен,每次开局即骑乘战马——无需金币树的骑术节点,毎回のランを軍馬に騎乗した状態で開始——ゴールドツリーの騎乗ノードは不要,매 판을 군마에 탑승한 채로 시작 — 골드 트리의 기승 노드 불필요
skill.reinc.start_mounted.name,(generated),Cavalier,Cavalier,Cavaliere,Kavallerist,Jinete,Кавалерист,骑兵,キャバリア,기병
stat.AllDamageMultiplier,(generated),All Damage,Dégâts globaux,Danni totali,Gesamtschaden,Daño total,Весь урон,全部伤害,全ダメージ,모든 피해
stat.AxeBoomerangUnlocked,(generated),Axe Boomerang Unlocked,Boomerang de hache débloqué,Boomerang dell'ascia sbloccato,Axt-Bumerang freigeschaltet,Bumerán de hacha desbloqueado,Бумеранг топора открыт,飞斧回旋已解锁,アックスブーメラン解放,도끼 부메랑 해금
stat.AxeThrowChargeDamageBonus,(generated),Axe Throw Charge Damage Bonus,Bonus de dégâts de charge du lancer de hache,Bonus danni carica lancio d'ascia,Axtwurf-Aufladungsschadensbonus,Bono de daño de carga de lanzamiento de hacha,Бонус урона заряда броска топора,投斧蓄力伤害加成,アックススロー・チャージダメージボーナス,도끼 투척 충전 피해 보너스
stat.AxeThrowDamage,(generated),Axe Throw Damage,Dégâts du lancer de hache,Danni lancio d'ascia,Axtwurf-Schaden,Daño de lanzamiento de hacha,Урон броска топора,投斧伤害,アックススローダメージ,도끼 투척 피해
stat.AxeThrowKnockback,(generated),Axe Throw Knockback,Recul du lancer de hache,Respinta lancio d'ascia,Axtwurf-Rückstoß,Empuje de lanzamiento de hacha,Отбрасывание броска топора,投斧击退,アックススローノックバック,도끼 투척 넉백
stat.AxeThrowMaxChargeLevels,(generated),Axe Throw Max Charge Levels,Niveaux de charge max du lancer de hache,Livelli di carica max lancio d'ascia,Max. Axtwurf-Aufladungsstufen,Niveles máx. de carga de lanzamiento de hacha,Макс. уровни заряда броска топора,投斧最大蓄力等级,アックススロー最大チャージレベル,도끼 투척 최대 충전 단계
stat.AxeThrowPierceCount,(generated),Axe Throw Pierce Count,Perforations du lancer de hache,Perforazioni lancio d'ascia,Axtwurf-Durchschläge,Perforaciones de lanzamiento de hacha,Пробивание броска топора,投斧穿透数,アックススロー貫通数,도끼 투척 관통 수
stat.AxeThrowUnlocked,(generated),Axe Throw Unlocked,Lancer de hache débloqué,Lancio d'ascia sbloccato,Axtwurf freigeschaltet,Lanzamiento de hacha desbloqueado,Бросок топора открыт,投斧已解锁,アックススロー解放,도끼 투척 해금
stat.AxeThrowWidth,(generated),Axe Throw Width,Largeur du lancer de hache,Larghezza lancio d'ascia,Axtwurf-Breite,Anchura de lanzamiento de hacha,Ширина броска топора,投斧宽度,アックススロー幅,도끼 투척 폭
stat.BlockCooldown,(generated),Auto-block,Blocage auto,Blocco automatico,Auto-Block,Bloqueo automático,Автоблок,自动格挡,オートブロック,자동 방어
stat.BowArrowSpeed,(generated),Arrow Speed,Vitesse des flèches,Velocità delle frecce,Pfeilgeschwindigkeit,Velocidad de flecha,Скорость стрел,箭矢速度,矢の速度,화살 속도
stat.BowBounceChance,(generated),Bounce Chance,Chance de rebond,Probabilità di rimbalzo,Abprallchance,Probabilidad de rebote,Шанс рикошета,弹射几率,バウンド確率,튕김 확률
stat.BowChargeDamageBonus,(generated),Bow Charge Damage / level,Dégâts de charge de l'arc / niveau,Danni carica arco / livello,Bogen-Aufladungsschaden / Stufe,Daño de carga del arco / nivel,Урон заряда лука / уровень,弓蓄力伤害 / 等级,弓チャージダメージ / レベル,활 충전 피해 / 레벨
stat.BowDamage,(generated),Bow Damage,Dégâts de l'arc,Danni dell'arco,Bogenschaden,Daño del arco,Урон лука,弓伤害,弓ダメージ,활 피해
stat.BowImpulseArrows,(generated),Impulse Arrows,Flèches d'Impulsion,Frecce a Impulso,Impuls-Pfeile,Flechas de Impulso,Импульсные стрелы,冲击箭,インパルスアロー,임펄스 화살
stat.BowMaxChargeLevels,(generated),Bow Charge Levels,Niveaux de charge de l'arc,Livelli di carica dell'arco,Bogen-Aufladungsstufen,Niveles de carga del arco,Уровни заряда лука,弓蓄力等级,弓チャージレベル,활 충전 단계
stat.BowMultishotArrows,(generated),Extra Arrows,Flèches supplémentaires,Frecce extra,Zusätzliche Pfeile,Flechas adicionales,Доп. стрелы,额外箭矢,追加の矢,추가 화살
stat.BowMultishotDamagePercent,(generated),Extra Arrow Damage,Dégâts des flèches supplémentaires,Danni frecce extra,Schaden zusätzlicher Pfeile,Daño de flechas adicionales,Урон доп. стрел,额外箭矢伤害,追加の矢のダメージ,추가 화살 피해
stat.BowPickupArrows,(generated),Retriever,Récupérateur,Recuperatore,Rückholer,Recuperador,Собиратель,拾箭者,レトリーバー,회수꾼
stat.BowPrecisionDamageBonus,(generated),Precision Damage,Dégâts de précision,Danni di precisione,Präzisionsschaden,Daño de precisión,Урон точности,精准伤害,精密ダメージ,정밀 피해
stat.BowStormArrows,(generated),Storm Arrows,Flèches de tempête,Frecce di tempesta,Sturmpfeile,Flechas de tormenta,Штормовые стрелы,风暴箭,ストームアロー,폭풍 화살
stat.BowUnlocked,(generated),Bow Unlocked,Arc débloqué,Arco sbloccato,Bogen freigeschaltet,Arco desbloqueado,Лук открыт,弓已解锁,弓解放,활 해금
stat.BowUnstableOrbs,(generated),Unstable Orbs,Orbes instables,Sfere instabili,Instabile Orbs,Orbes inestables,Нестабильные сферы,不稳定法球,不安定なオーブ,불안정한 구슬
stat.BrainFreezeSlowPercent,(generated),Brain Freeze Slow,Ralentissement Gel Cérébral,Rallentamento Gelo Cerebrale,Hirnfrost-Verlangsamung,Ralentización de Congelación Cerebral,Замедление Заморозки мозга,脑冻结减速,ブレインフリーズ減速,브레인 프리즈 둔화
stat.ChainLightningBounces,(generated),Lightning Bounces,Rebonds d'éclair,Rimbalzi del fulmine,Blitz-Sprünge,Rebotes de rayo,Отскоки молнии,闪电弹射次数,稲妻のバウンド数,번개 튕김 횟수
stat.ChainLightningCritChance,(generated),Lightning Crit Chance,Chance de critique d'éclair,Probabilità critica del fulmine,Blitz-Kritchance,Probabilidad de crítico de rayo,Шанс крита молнии,闪电暴击几率,稲妻クリティカル率,번개 치명타 확률
stat.ChainLightningDamagePercent,(generated),Lightning Damage,Dégâts d'éclair,Danni da fulmine,Blitzschaden,Daño de rayo,Урон молнии,闪电伤害,稲妻ダメージ,번개 피해
stat.ChainLightningOrbDuration,(generated),Lightning Duration,Durée d'éclair,Durata del fulmine,Blitzdauer,Duración de rayo,Длительность молнии,闪电持续时间,稲妻持続時間,번개 지속시간
stat.ChargeDamageBonus,(generated),Charge Damage / level,Dégâts de charge / niveau,Danni carica / livello,Aufladungsschaden / Stufe,Daño de carga / nivel,Урон заряда / уровень,蓄力伤害 / 等级,チャージダメージ / レベル,충전 피해 / 레벨
stat.ChargeKnockbackBonus,(generated),Charge Knockback / level,Recul de charge / niveau,Respinta carica / livello,Aufladungsrückstoß / Stufe,Empuje de carga / nivel,Отбрасывание заряда / уровень,蓄力击退 / 等级,チャージノックバック / レベル,충전 넉백 / 레벨
stat.ConduitChainChance,(generated),Chain Chance,Chance de chaîne,Probabilità di catena,Kettenchance,Probabilidad de cadena,Шанс цепи,连锁几率,チェーン確率,연쇄 확률
stat.ConduitDamageReductionPercent,(generated),Damage Reduction,Réduction de dégâts,Riduzione danni,Schadensreduktion,Reducción de daño,Снижение урона,伤害减免,ダメージ軽減,피해 감소
